BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
55,TECH-KOOL REFRIGERATION SDN BHD,"No 4 Jalan Jati, 86000 Kluang, Johor",BKA654J040J059,7-Aug-22,A,(20)JLD. 21,07-7720661,kf.lee@techkool.com.my,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Kontena, Refrigerant/Insulated Box/Luton Van Sahaja. ",johor,Laku
56,TERBERG MANUFACTURING & ASSEMBLY SDN BHD.,"PLO 6, Jalan Gangsa, P.O. Box 73, 81707 Pasir Gudang, Johor",BKA654J041J064,5-Dec-23,A,(40)JLD. 39,07-2512506,tmsb@simedarby.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Jentera Berat, Traktor Lori Rigid Dan Bas Sahaja.
2. Pembinaan Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal bagi Semua Jenis Treler/Tanker S",johor,Laku
57,TN ENGINEERING SDN. BHD.,"Lot 88, Jalan Berjaya 9, Taman Perindustrian Berjaya, 81300 Kempas Lama, Johor Bahru, Johor.",BKA654J042J066,7-Feb-24,A,(16)Jld.41,07-5568212,mgt01@tnae.com,DIMD AUTOMOTIF CONSULTANT / TRANSAFE CONSULTING ENGINEER,DATO IR. HJ. MOHAMAD BIN DALID / IR. MD. HISMA BIN HASHIM,"
AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Bas, Treler Dan Tanker Sahaja.
",johor,Laku
58,TN FABRICATION ASSEMBLY & ENGINEERING WORKS SDN. BHD.,"Lot 88, Jalan Berjaya 9, Taman Perindustrian Berjaya, 81300 Kempas Lama, Johor Bahru, Johor.",BKA654J043J066,7-Feb-24,A,(18)Jld.41,07-5568212,sharon@tnae.com,DIMD AUTOMOTIF CONSULTANT / TRANSAFE CONSULTING ENGINEER,DATO IR. HJ. MOHAMAD BIN DALID / IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Bas, Treler Dan Tanker Sahaja.",johor,Laku
59,TW JAYA ENTERPRISE,"Lot 5093-A, Jalan Ketumbar, Kampung Bendahara,81100 Johor Bahru, Johor.",BKA654J044J066,12-Jan-24,A,(40)Jld.40,07-3359360,twjaya@hotmail.com,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Bas, Lori dan Van Sahaja.",johor,Laku
60,XIN HWA AUTO ENGINEERING SDN. BHD.,"Lot 7016, Seelong Jaya,81200 Skudai, Johor Bahru, Johor",BKA642J045J049,7-Aug-18,A,(28) JLD. 144,07-5981691,xinhwa82@myjaring.net,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",johor,Tamat
61,XIN HWA AUTO ENGINEERING SDN. BHD.,"No.PTD 107511 Jalan Seelong Jaya 13, 81400 Mukim Senai, Daerah Kulaijaya, Johor",BKA654J046J059,25-Aug-22,A,(06)Jld.23,07-5900875,xhauto_opn@xinhwa.co.my,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Dan Box/Luton Van Sahaja.",johor,Laku
62,YI CHENG TRAILER SERVICE SDN BHD,"No. 40, Jalan Parit Kangkong,Bukit Pasir,83050 Batu Pahat, Johor.",BKA654J047J061,10-Apr-23,A,(08) Jld.31,07-4321515,yichengtrailer.service@hotmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja. 
",johor,Laku
63,YONG KWEE INDUSTRIES SDN. BHD.,"Lot 17566 PTD 5546, Jalan Teknologi, Kawasan Perindustrian Tangkak,84900 Tangkak, Johor",BKA654J048J051,2-Aug-20,A,(14)Jld.-,06-9781118,yongkweeind@gmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Concrete Mixer, Roll On-Roll Off Dan Prime Mover Sahaja.",johor,Tamat
64,YONGMING AUTO (JOHOR) SDN BHD,"No 8, Jalan Persiaran Teknologi, Taman Teknologi, 81400 Senai, Johor",BKA654J055J059,30-Sep-22,B,(14)Jld.25,07-5989980,ymjb@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",johor,Laku
65,YONGMING AUTO (PASIR GUDANG) SDN BHD,"PLO 713 Jalan Keluli 8, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor",BKA655J049J062,9-Sep-23,B,(08)Jld. 35,07-2561891,ympg@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",johor,Laku
66,YPP TRUCK BODY WORKS.,"Lot 6027 Jalan Yong Peng, Ayer Hitam Mk Tg Sembrong 83700 Yong Peng, Johor.",BKA654J054J062,6-Apr-23,A,(24)Jld.31,07-4671167,ypptruck88@gmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton, Kenderaan Decontrolled Dan Trailer Sahaja.",johor,Laku
1,CHANGLI WELDING WORKS SDN BHD,"Lot 3840, Batu 5 Jalan Simpang Empat,06650 Alor Setar, Kedah",BKA654K001J019,2-Nov-23,A,(22)Jld. 38,085-651668               04-7641250,changli_wee@yahoo.com.sg,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton, dan Van  Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Kedah,Laku
2,EUROTECH MANUFACTURER SDN BHD,"Plot 4, Mukim Naga, Kawasan Perusahaan Bandar Darulaman, 06000 Jitra, Kedah",BKA642K002J019,10-Jan-24,C,(16)Jld. 40,04-4445033,harifudin@ktmmalaysia.com,-,KU ABDUL SHUKUR BIN KU SULAIMAN,"AKTIVITI:
Membina Dan Memasang Semua Jenis Motosikal Baru Berjenama KTM Dan Tayo Zontes Sahaja.",Kedah,Laku
3,GEMILANG SINAR AUTO WORKSHOP SDN BHD.,"Lot 869, Paya Besar, 09600 Lunas, Kedah.",BKA654K003J018,14-Mar-23,A,(06)Jld. 31,04-4842828,gs_auto2010@hotmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Treler Sahaja.",Kedah,Laku
4,GO AUTOMOBILE MANUFACTURING SDN BHD.,"Lot 58, Kawasan Perindustrian Gurun, 08300 Gurun, Kedah.",BKA654K004J018,3-Aug-22,A,(04)Jld. 22,04-4619666,ybsaad@gmail.com,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Van  Sahaja.
2. Membina Semua Jenis Trailer Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Trailer Sahaja.
3. Menjalankan Aktiviti Ässembly Of",Kedah,Laku
5,GO AUTOMOBILE MANUFACTURING SDN BHD.,"Lot 58, Kawasan Perindustrian Gurun, 08300 Gurun, Kedah.",BKA642K005J018,2-Feb-20,C,(04)Jld. 2,04-4619666,N/A,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pengubahsuaian Dan Penukaran Sistem ""Stering""Kenderaan Panduan Sebelah Kiri (LHD) Ke Kenderaan Panduan Kanan (RHD).",Kedah,Tamat
6,HAP WATT MOTORS (K) SDN. BHD.,"No. 220 & 221, Batu 3 1/2, Jalan Sg. Korok,05400 Alor Setar, Kedah.",BKA654K006J019,2-Nov-23,A,(20)Jld.38,04-7714375,hapwattmotor@yahoo.com,TANMENGJIN CONSULTANCY,IR.TAN MENG JIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanke",Kedah,Laku
7,INDAH UTARA INDUSTRI SDN BHD,"No. 80-B, KM 10, Jalan Datuk Kumbar,06500 Alor Setar, Kedah",BKA654K007J018,1-Sep-22,A,(18)Jld. 20,04-7337472,iuisb@hotmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Kedah,Laku
8,INSULATED BOX MANUFACTURER SDN BHD,"252 Lorong Perak 10, Kawasan Perusahaan Mergong, 05150 Alor Setar, Kedah",BKA654K008J019,3-Oct-23,A,(18)Jld. 37,04-7310710,shuifenglim@superengineering.com.my,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Dan Refrigerated Box Sahaja.",Kedah,Laku
9,KASULA HEAVY MACHINERY (M) SDN BHD,"Lot 32 & 33, Kawasan Perindustrian MIEL, Sungai Lalang, Jalan 1B-1, 08000 Sungai Petani, Kedah Darul Aman.",BKA654K020J020,24-Mar-23,A,(10)Jld. 42,04-4462212,kasulaheavy@gmail.com,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Jentera Berat Dan Ambulans Sahaja.
2. Pemasangan Machinery Sahaja.",Kedah,Laku
10,KIJANGMAS VEHICLES SDN BHD,"Plot 26, Jalan Makmur 2, Kawasan Perindustrian Bukit Makmur, 08000 Sungai Petani, Kedah.",BKA654K009J019,10-Nov-23,A,(46)Jld. 38,04-4445033,kijangmassb@gmail.com,-,IR. ONG LEONG ENG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Kedah,Laku
11,LEAN KEE INDUSTRIES SDN. BHD.,"No. 100-U, Lorong Perak 6, Seberang Jalan Putra Mergong, 05150 Alor Setar, Kedah",BKA654K010J018,26-Oct-22,A,(02)Jld.40,04-7333098,leankee99@yahoo.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Kedah,Laku
12,LEAN TAT LORRY ENGINEERING SDN BHD.,"9193 & 9194 Mukim Pengkalan Kundor, Jalan Lencong Barat, Kawasan Perindustrian Tandop Baru, 05100 Alor Setar, Kedah.",BKA654K011J018,18-Sep-22,A,(24)Jld. 22,04-7724699,badanlorileantat@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Sahaja.
2. Membina Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Treler/Tanker Tersebut Sahaja.",Kedah,Laku
13,LEE AUTO ENTERPRISE,"No. 605, Padang Tenusu,08000 Sungai Petani, Kedah.",BKA654K012J019,3-Oct-23,B,(14)Jld.37,04-4319043,bebe@leeauto.com.my,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Bas, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.
2. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Kedah,Laku
14,MAJU MOTOR DAN SEMBUR CAT,"95SP & Q, Kawasan Perusahaan Mergong 1, Seberang Jaya Putra, 05150 Alor Setar, Kedah",BKA654K013J018,11-Apr-23,B,(36)Jld.31,04-7337809,pekkew6699@gmail.com,PERUNDING GAGASAN PRIMA S/B,IR. MOHD NAWI BIN SALLEH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Lori Termasuk Tukar Guna Bas Sahaja.",Kedah,Laku
15,MEMBAIKI BADAN LORI TIAM SOON,"No 106, Batu 9 1/2, Kota Sarang Semut, 06800 Alor Setar, Kedah Darul Aman.",BKA654K014J019,7-February-24,A,(26)Jld.41,04-7694463,tiamsoonlori@hotmail.com,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTITVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.",Kedah,Laku
16,PROMAS TECHNOLOGY SDN BHD,"23, 24, Jalan Saujana 1, Taman Industri Saujana, 09600 Lunas, Kedah Darul Aman.",BKA654K019J019,29-Aug-22,C,(06)Jld. 35,04-4848834,jimmy@promas.com.my,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Drawbar Trailer (Off-Road) Dan Motosikal Side Car (Food-Motor) Sahaja.
2. Pemasangan, Pembaikan Dan Pengubahsuaian Teknikal Bagi ""All Terrain Vehicle"" Sahaja.",Kedah,Laku
17,SCS INDUSTRIES SDN BHD,"Wisma SCS, No 888, Batu 8,Jalan Langgar, 06400 Alor Setar, Kedah",BKA654K015J018,27-Aug-22,A,(08)JLD. 23,04-7878888,scs@scsgroups.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Jentera Berat, Traktor Dan Drawbar Treler Sahaja.
2. Membina Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Treler/Tanker Tersebut Sahaja.",Kedah,Laku
18,SIN HUAT ENTERPRISE,"No. 100-Q, Jalan Perak, Mergong, Seberang Jalan Putra,05150 Alor Setar, Kedah.",BKA642K016J018,27-Apr-11,C,,,,,,,Kedah,Tamat
19,SINGHAP (KEDAH) SDN BHD,"608 Wisma Singhap, Kg Mempelam Mergong, MKM Mergong, 05150 Alor Setar, Kedah",BKA654K017J019,3-Oct-23,A,(24)Jld. 37,04-7321251,yong@singhap.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Dan Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Kedah,Laku
20,TEKNOLOGI EURO UTARA SDN. BHD.,"No. 1802, Batu 10, Jalan Pokok Sena, 06400 Pokok Sena, Kedah.",BKA654K018J018,26-Oct-22,A,(12)Jld. 26,04-7824614,euroutara@gmail.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Compactor Dan Hooklift Sahaja.",Kedah,Laku
1,AMN AUTOGARAGE,"Lot No. 6288, KM 4, Jalan Pasir Mas, 17500 Tanah Merah, Kelantan.",BKA642D001J005,14-Jun-17,A,(20)Jld.142,017-9339973,N/A,RAZALIONE CONSULTING ENGINEER,IR. WAN SAPIANSORI WAN ABD GHANI,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Van Sahaja.",Kelantan,Tamat
2,AZHAM ZAMIRI ENGINEERING SDN BHD,"Lot 164, Kg Sri Sentosa, Mukim Tanjong Jering, 16100 Daerah Tanjong Pauh, Jajahan Bachok, Kelantan",BKA642D002J005,15-Jun-18,A,(06)Jld.143,09-7649966,azhamzamiri.engineering@yahoo.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori dan Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Kelantan,Tamat
3,BISTARI KMZ SDN BHD,"Lot 1446, Kg. Bris Lanjut, Jalan Panji, 16100 Kota Bharu, Kelantan",BKA642D003J005,29-Sep-16,B,(10)Jld.128,09-7746843,kmzkb@yahoo.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Luton/Box Dan Van Sahaja.",Kelantan,Tamat
4,BOGAM CORPORATION SDN BHD.,"Lot PT 117, Kedai Baru, 16Km Padang Kala, Peringat 16400 Kota Bharu, Kelantan.",BKA654D007J008,2-Mar-24,A,(02)JLD 42,09-7837707,bogam_hq@yahoo.com,PERUNDING USAHA KUKUH,Ir. ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Sahaja.
2. Pembinaan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Dan Tanker Sahaja.",Kelantan,Laku
5,K & T ENGINEERING & TRADING SDN. BHD.,"Petak 24, Blok H,Kawasan Perindustrian Pengkalan Chepa II,Mukim Kemumin,Daerah Panji, Seksyen 44,16100 Kota Bharu,Kelantan.",BKA654D004J006,2-Jul-22,A,(32)JLD 20,09-7732522,hinokb@gmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Kelantan,Laku
6,KWENG DESIGN SDN BHD.,"PT 4424, Kg. Kepas, Jalan Kota Bharu, 18500 Machang, Kelantan.",BKA654D006J006,8-Jul-20,B,(38)JLD 10,-,-,PERUNDING USAHA KUKUH,IR ABDUL HADI BIN ABDULLAH,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Treler Kuda Sahaja. ",Kelantan,Tamat
7,NEW WING FATT ENGINEERING SDN BHD,"S/46 Lot 2110 & 2117, Kg Chempaka, Jalan Dusun Raja, 15200 Kota Bharu, Kelantan Darul Naim.",BKA654D008J008,29-Jul-22,B,(04)JLD 34,016-9869418,new_wingfatt89@yahoo.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Treler Dan Tanker Sahaja.",Kelantan,Laku
8,SEMERAK SHIPYARD & MARITIME ENGINEERING SDN. BHD.,"Lot 1231, Terusan Semarak, tok Bali,16700 Pasir Puteh, Kelantan",BKA642D005J005,10-Nov-15,A,(10)Jld.118,09-7780320,semerak_shipyard@yahoo.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Kelantan,Tamat
1,BERNAS MANTAP SDN BHD,"Godown C1, Lot 4657, Mukim Batu, Off Jalan Kuching, 51200 Kuala Lumpur",BKA642V001J007,30-May-17,A,(18)Jld 134,03-62521070,ernest@bernasmantap.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTITVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Van, Bas, Kenderaan Decontrolled Dan Drawbar Treler Btm 3000 Kg Ke Bawah Sahaja.",Kuala Lumpur,Tamat
2,IMS MOTOSPORTS (KL) SDN BHD.,"No. 3, Jalan Empat, Off Jalan Chan Sow Lin, 55200 Kuala Lumpur.",BKA642V002J007,3-Apr-18,B,(08)Jld 150,03-92222206,inquiry@imsgroup.com.my,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTITVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van, drawbar Treler, Sidecar Dan Decontrolled Sahaja.",Kuala Lumpur,Tamat
3,LIAN HUP ENGINEERING WORKS,"302, Jalan Segambut,51200 Kuala Lumpur.",BKA642V003J007,29-Mac-12,B,,,,,,,Kuala Lumpur,Tamat
4,MEE HUAT ENGINEERING WORKS.,"No. 22, Jalan 1/148A, Taman Sungai Besi Industrial Park, 57100 Kuala Lumpur.",BKA654V004J007,30-Oct-20,A,(18)Jld 4,012-3256688,hoshikee@yahoo.com.my,PERUNDING TIMUR SDN BHD,IR. MOHD NAZARI BIN HJ. JAFFAR,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Dan Van Sahaja.
2. Memberi Treler/Tanker, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Kuala Lumpur,Tamat
5,PIONEER COACH BUILDER SDN BHD,"Sub Lot 13 & 14, Lot 1031 Batu 7 ½ Jalan Puchong, Kuala Lumpur",BKA642V005J007,5-Nov-14,A,(12)Jld 108,03-80701842,N/A,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Kenderaan Rigid Decontrolled, Van Dan Bas Sahaja. ",Kuala Lumpur,Tamat
6,SENDANG INDUSTRY SDN. BHD.,"Lot 236, Batu 6 1/2 Jalan Kepong,52000 Kuala Lumpur",BKA642V006J007,15-Jun-18,B,(04)Jld 143,03-62577478,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.",Kuala Lumpur,Tamat
7,SYARIKAT JOO HIN MOTOR & IPON WORK,"No. 550 Batu 3 1/2 , Jalan Cheras, 56100 Kuala Lumpur.",BKA654V007J008,1-Mar-23,B,(08)Jld 30,03-92843427,syktjoohin@yahoo.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Motosikal Kenderaan Orang Cacat/Side Car Sahaja.",Kuala Lumpur,Laku
8,YIP BROTHERS ENTERPRISE,"No. 2639-1 Workshop, Jalan Selangor, Jinjang Utara, 59200 Kuala Lumpur.",BKA654V008J008,3-Oct-23,A,(06)Jld 37,012-9168821,yipbrother88@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Decontrolled Sahaja.",Kuala Lumpur,Laku
1,BRAZEN COMPOSITES MALAYSIA SDN BHD.,"1A, Jalan PK9, Kawasan Perindustrian Krubong, 75260 Krubong, Melaka.",BKA642M001J008,22-Jun-18,A,(14) Jld.143,06-3376669,sales@brazencomposites.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Tujuan Pembinaan Bas Elektrik dari Bahan Komposit Sahaja.",Melaka,Tamat
2,DRB-ORIENTAL-HONDA SDN. BHD.,"P.T. 75 To P.T. 79,HICOM Industrial Park, Pegoh, 78000 Melaka.",BKA642M002J008,TERBUKA,A,,06-558 8000,,,,,Melaka,Laku
3,EXPLORER COMPOSITE SDN BHD,"Batu 5, Lorong Boat Explorer, Jalan Pulau Gadong, 75200 Melaka.",BKA654M003J009,1-Nov-23,A,(12) Jld.38,06-3356239,fty@explorer.com.my,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Bot Sahaja.
",Melaka,Laku
